cutoff,model,exact_peer_count,n_batteries,n_points,MAE,RMSE,mean_battery_RMSE
75,Slope-adapted cohort,4,5,250,0.0002184523518130459,0.0003531491030581444,0.00035046967514365003
75,Multivariate similarity,4,5,250,0.00021116811663859548,0.00032607928690198666,0.0003148681564345465
75,Soft-policy neighbors,4,5,250,0.0003163139081189654,0.0003936960749877066,0.00038101660386191883
75,Public Linear-Nested,5,6,300,0.0002304242386342666,0.0003210316178541329,0.000272264207692737
75,Exact-policy mean delta,5,6,300,0.00022497351714101572,0.0002577738253972308,0.0002540512157836298
75,Trajectory similarity,5,6,300,0.0001990563061400637,0.0002565829182826089,0.00023351318490530772
75,Slope-adapted cohort,5,6,300,0.00021364605241844766,0.00027024178632021077,0.000254456282408208
75,Multivariate similarity,5,6,300,0.0001383445344128283,0.00018597555124825262,0.00017868790777771657
75,Soft-policy neighbors,5,6,300,0.00014830043115451183,0.0001962207824737792,0.00018039632258568146
75,Public Linear-Nested,6,21,1050,0.00023996909435896656,0.0003156627799465117,0.00028401159136705437
75,Exact-policy mean delta,6,21,1050,0.00023985528539140715,0.00029916321976883976,0.00028320383779653244
75,Trajectory similarity,6,21,1050,0.00019920313945034985,0.0002491248261364053,0.00023572066529805948
75,Slope-adapted cohort,6,21,1050,0.00023946575910973336,0.0003146609340857913,0.00028454417445397917
75,Multivariate similarity,6,21,1050,0.00020563575017557573,0.0002589061457758064,0.0002423422413329148
75,Soft-policy neighbors,6,21,1050,0.00020217343108138222,0.0002562285506223861,0.00024016447177394113
100,Public Linear-Nested,1,8,400,0.0005763589194426697,0.0009800330556680996,0.0007758587206863497
100,Exact-policy mean delta,1,8,400,0.0019414948435867488,0.002696939195099956,0.0023695756944162732
100,Trajectory similarity,1,8,400,0.0019414948435867488,0.002696939195099956,0.0023695756944162732
100,Slope-adapted cohort,1,8,400,0.0006673120393331894,0.0012708831400936628,0.0008968706875511227
100,Multivariate similarity,1,8,400,0.0019414948435867488,0.002696939195099956,0.0023695756944162732
100,Soft-policy neighbors,1,8,400,0.0017401460205840361,0.002565621127289193,0.002040745721392878
100,Public Linear-Nested,4,5,250,0.0002730173878544746,0.00037918507243381533,0.0003259746595002684
100,Exact-policy mean delta,4,5,250,0.0007576865634719194,0.0008484596180214555,0.000789606958283229
100,Trajectory similarity,4,5,250,0.0009789553522860013,0.0010468564160434379,0.0010074185553557342
100,Slope-adapted cohort,4,5,250,0.0008243225375707821,0.0009121039318728771,0.0008543679751737388
100,Multivariate similarity,4,5,250,0.0008765428619285647,0.0009407316262979758,0.0009037524629456554
100,Soft-policy neighbors,4,5,250,0.000661127180163307,0.0008955040280319588,0.0006955117519256135
100,Public Linear-Nested,5,6,300,0.00018206431128806082,0.00023946006478731328,0.00022120966904349196
100,Exact-policy mean delta,5,6,300,0.0001585033476110198,0.00021004472085317955,0.00020133300181074962
100,Trajectory similarity,5,6,300,0.00015205302454562568,0.0002017802955400362,0.00019253602153796538
100,Slope-adapted cohort,5,6,300,0.00014363908264225695,0.00020347990211122858,0.00017807810957044023
100,Multivariate similarity,5,6,300,0.00015371159076608168,0.0002051873442397956,0.0001957752165884282
100,Soft-policy neighbors,5,6,300,0.00011953757053975759,0.0001683501049739967,0.00014794359090514216
100,Public Linear-Nested,6,21,1050,0.0002145633277623985,0.0003044474940223429,0.00026815596389252185
100,Exact-policy mean delta,6,21,1050,0.00021242980405565824,0.0002833348324985151,0.0002596720233679452
100,Trajectory similarity,6,21,1050,0.0001954045031718982,0.0002626518092981593,0.00024161389892428614
100,Slope-adapted cohort,6,21,1050,0.00019017088916043935,0.0002610080616196523,0.00023957445496419852
100,Multivariate similarity,6,21,1050,0.00019604332894953728,0.0002641234895565988,0.00024023962607441
100,Soft-policy neighbors,6,21,1050,0.00016477132820228075,0.0002214408156293416,0.00020464325560940643
125,Public Linear-Nested,1,8,400,0.0007273719663977288,0.0012037861804267808,0.0009764878740008139
125,Exact-policy mean delta,1,8,400,0.001964908711078075,0.0026735235685104264,0.0024846616500905573
125,Trajectory similarity,1,8,400,0.001964908711078075,0.0026735235685104264,0.0024846616500905573
125,Slope-adapted cohort,1,8,400,0.0009625854849308296,0.0016578899976894888,0.0013032017125779102
125,Multivariate similarity,1,8,400,0.001964908711078075,0.0026735235685104264,0.0024846616500905573
125,Soft-policy neighbors,1,8,400,0.001837902847420662,0.0025534153636772054,0.0022476840552725194
125,Public Linear-Nested,4,5,250,0.0003281351793926999,0.0004305627254179015,0.00041601183053832484
125,Exact-policy mean delta,4,5,250,0.0002721945210597889,0.00037144786936698466,0.00035417275425738353
125,Trajectory similarity,4,5,250,0.00020481203251659385,0.0003178799778129929,0.0003092035146802086
125,Slope-adapted cohort,4,5,250,0.0002896042570342381,0.0004083862957632725,0.00040260309309739044
125,Multivariate similarity,4,5,250,0.00025731589972931746,0.0003711726364312627,0.0003607223584586993
125,Soft-policy neighbors,4,5,250,0.000251591915496356,0.0003378859699286907,0.0003206988093690023
125,Public Linear-Nested,5,6,300,0.00021510374914056495,0.00027457003941333183,0.00025623562918492866
125,Exact-policy mean delta,5,6,300,0.00017908912527020093,0.00023485283771396663,0.00021518730380916287
125,Trajectory similarity,5,6,300,0.0001454711869444388,0.0001911859673669251,0.00017223543505762496
125,Slope-adapted cohort,5,6,300,0.00018612436199179848,0.0002512659272199888,0.00021675639682632207
125,Multivariate similarity,5,6,300,0.0001752115749410347,0.00022887194483702382,0.0002045464173809653
125,Soft-policy neighbors,5,6,300,0.0001349787416739745,0.00019130185704726202,0.00016104656164805082
125,Public Linear-Nested,6,21,1050,0.0003031084237755502,0.0003761277503399748,0.00035425454723676537
125,Exact-policy mean delta,6,21,1050,0.0002222484986479013,0.0002922614097409246,0.00026785237768754596
125,Trajectory similarity,6,21,1050,0.00016274307829830257,0.00021802290086248856,0.00020514927741108514
125,Slope-adapted cohort,6,21,1050,0.00023835220185270523,0.0003020852670795721,0.00028280064116300544
125,Multivariate similarity,6,21,1050,0.00018636276892470096,0.000259625552316334,0.00023137472132407695
125,Soft-policy neighbors,6,21,1050,0.00018183503759982054,0.00023721429074904056,0.00022094709691555299
150,Public Linear-Nested,1,8,400,0.0008339314358712716,0.0012531383774786345,0.0010031203734715808
150,Exact-policy mean delta,1,8,400,0.002281415007930714,0.0029638200910951647,0.002830648104564879
150,Trajectory similarity,1,8,400,0.002281415007930714,0.0029638200910951647,0.002830648104564879
150,Slope-adapted cohort,1,8,400,0.0008433358394039861,0.0014703548499106795,0.0011313378086633284
150,Multivariate similarity,1,8,400,0.002281415007930714,0.0029638200910951647,0.002830648104564879
150,Soft-policy neighbors,1,8,400,0.0018444188666075112,0.00252157746642206,0.002237522691799184
150,Public Linear-Nested,4,5,250,0.00022100274477558068,0.00036802258731363796,0.0003284717546293871
150,Exact-policy mean delta,4,5,250,0.00025936478121590636,0.0003625134110949059,0.00035662302744038506
150,Trajectory similarity,4,5,250,0.0002631148014972635,0.000396276693311205,0.000390394913494075
150,Slope-adapted cohort,4,5,250,0.00023464721684086153,0.0003690028607843226,0.0003602220803620367
150,Multivariate similarity,4,5,250,0.00027041581653480096,0.0003973482514675384,0.0003869167193463783
150,Soft-policy neighbors,4,5,250,0.00018952158236213234,0.0003046883497840757,0.0002828182861038967
150,Public Linear-Nested,5,6,300,0.0002359673207798574,0.00029280310052116513,0.00027827838731895406
150,Exact-policy mean delta,5,6,300,0.00018711698242828922,0.0002370823273108172,0.0002187261694396352
150,Trajectory similarity,5,6,300,0.0001827477459572498,0.00023308357987315842,0.00021675414632593533
150,Slope-adapted cohort,5,6,300,0.00024641961678498154,0.00030125787477448265,0.0002856903253684651
150,Multivariate similarity,5,6,300,0.00019828334919845813,0.00025353437062865974,0.000232765820900735
150,Soft-policy neighbors,5,6,300,0.00016547040248594583,0.0002148636091422228,0.00019147711720686434
150,Public Linear-Nested,6,21,1050,0.00020251435635388883,0.0002598657168898788,0.00024083843854962953
150,Exact-policy mean delta,6,21,1050,0.00019764970983697497,0.0002505864934898119,0.0002351175786133312
150,Trajectory similarity,6,21,1050,0.00015051741202696002,0.00018671079261430867,0.00017612630951373525
150,Slope-adapted cohort,6,21,1050,0.00013747743651796075,0.00017915338301577568,0.000166707345293227
150,Multivariate similarity,6,21,1050,0.00016501838809270913,0.00021396559058760051,0.00019564758330871155
150,Soft-policy neighbors,6,21,1050,0.00018802721678877997,0.00023195268784819895,0.00022077680810202584
