cutoff,model,horizon_bin,RMSE,MAE
100,Public Linear-Nested,21-30,0.0003259018423867917,0.00020417887776514432
100,Public Linear-Nested,31-40,0.00055967454440744,0.0003514909169336472
100,Public Linear-Nested,41-50,0.0008402586749379967,0.0005200050653475577
100,Exact-policy mean delta,1-10,0.00041583431619755947,0.00023662920622652322
100,Exact-policy mean delta,11-20,0.0007923875968862599,0.00043128592588228236
100,Exact-policy mean delta,21-30,0.0009566508769706328,0.0005595503335001367
100,Exact-policy mean delta,31-40,0.0014976398743541967,0.0008055278225922219
100,Exact-policy mean delta,41-50,0.002002080532485663,0.001058561403909902
100,Trajectory similarity,1-10,0.00045446657294101944,0.0002566167991481333
100,Trajectory similarity,11-20,0.0008223802622266342,0.00045734206024900247
100,Trajectory similarity,21-30,0.0009759683099677817,0.0005731518184866502
100,Trajectory similarity,31-40,0.0015100505633511754,0.0008119712537634271
100,Trajectory similarity,41-50,0.0020135621126688152,0.0010812365963537385
100,Slope-adapted cohort,1-10,0.00037872079937764256,0.00021133759507096313
100,Slope-adapted cohort,11-20,0.0005153713075822965,0.0002973804906494215
100,Slope-adapted cohort,21-30,0.0004940626785727649,0.0002991069887145173
100,Slope-adapted cohort,31-40,0.0007812893458575604,0.00042068969569536874
100,Slope-adapted cohort,41-50,0.0010399212318817812,0.0005609267512125036
100,Multivariate similarity,1-10,0.00044246837889639533,0.00025066848733889895
100,Multivariate similarity,11-20,0.0008038618773464654,0.00044474800553486376
100,Multivariate similarity,21-30,0.0009658966532817243,0.0005662614130099539
100,Multivariate similarity,31-40,0.0015014137478382731,0.0008004380198000905
100,Multivariate similarity,41-50,0.0020030274155774406,0.0010571156381753912
100,Soft-policy neighbors,1-10,0.00044053445280386116,0.00024076274707003214
100,Soft-policy neighbors,11-20,0.0007874908269156092,0.00040171261074471417
100,Soft-policy neighbors,21-30,0.0009996893712859946,0.0005076059600599797
100,Soft-policy neighbors,31-40,0.0013941587593747635,0.0006515402947743207
100,Soft-policy neighbors,41-50,0.0018644898636751691,0.0008739068099728614
125,Public Linear-Nested,1-10,0.0003231358786643662,0.00018859560015361404
125,Public Linear-Nested,11-20,0.000531744191902171,0.00030377782622815623
125,Public Linear-Nested,21-30,0.0004463342591825212,0.00029502381974814057
125,Public Linear-Nested,31-40,0.0006655409862328724,0.0004669961891458341
125,Public Linear-Nested,41-50,0.0009816029370129334,0.0006350504425086642
125,Exact-policy mean delta,1-10,0.00045364761191923854,0.00018385848016364836
125,Exact-policy mean delta,11-20,0.0008425938433474409,0.00038970221125172013
125,Exact-policy mean delta,21-30,0.0010207905667556532,0.0005272099797177101
125,Exact-policy mean delta,31-40,0.0013518268031868872,0.000748446448743568
125,Exact-policy mean delta,41-50,0.0019272617636368835,0.0010035323197671881
125,Trajectory similarity,1-10,0.0004528016574628417,0.0001798075925266221
125,Trajectory similarity,11-20,0.0008450173943867098,0.0003976316399766627
125,Trajectory similarity,21-30,0.00100950051373799,0.0004825441630275618
125,Trajectory similarity,31-40,0.001335485046382923,0.0006582510886710139
125,Trajectory similarity,41-50,0.0019082396349515882,0.000910985717940459
125,Slope-adapted cohort,1-10,0.0004011686218419002,0.00018542408196374428
125,Slope-adapted cohort,11-20,0.0006123302412933401,0.00032161977850102524
125,Slope-adapted cohort,21-30,0.0006035275593519816,0.00033204585214696686
125,Slope-adapted cohort,31-40,0.0007967610940431973,0.0004328486803077708
125,Slope-adapted cohort,41-50,0.0012667970002285959,0.0006369175540149214
125,Multivariate similarity,1-10,0.00045269295465845915,0.0001788801019083386
125,Multivariate similarity,11-20,0.000846011931214097,0.00039920882404727884
125,Multivariate similarity,21-30,0.0010171325818979894,0.0005133528005362876
125,Multivariate similarity,31-40,0.0013441014895548325,0.0006949413445137128
125,Multivariate similarity,41-50,0.0019204753044839622,0.0009599590270363967
125,Soft-policy neighbors,1-10,0.0003574822703013772,0.00016466708763500677
125,Soft-policy neighbors,11-20,0.0007533731779950108,0.0003733555999931981
125,Soft-policy neighbors,21-30,0.001020078576874707,0.0004939276536254422
125,Soft-policy neighbors,31-40,0.0013171601611959099,0.0006445077271990971
125,Soft-policy neighbors,41-50,0.0018153804325623131,0.0008972407561081503
150,Public Linear-Nested,1-10,0.00033596938936668005,0.00018146434686272444
150,Public Linear-Nested,11-20,0.0005024247753512199,0.00027487407585716965
150,Public Linear-Nested,21-30,0.0006754749004549567,0.0003350200435737205
150,Public Linear-Nested,31-40,0.0005529710758261539,0.000337571216811324
150,Public Linear-Nested,41-50,0.0008770540114009411,0.000551704144264922
150,Exact-policy mean delta,1-10,0.00035026964647716765,0.00019431711594952022
150,Exact-policy mean delta,11-20,0.0008651093384628585,0.0004501244443109778
150,Exact-policy mean delta,21-30,0.001432664707316031,0.0006878937250517786
150,Exact-policy mean delta,31-40,0.0014010840633303845,0.0007064371792899651
150,Exact-policy mean delta,41-50,0.002046139292638461,0.00106391375673169
150,Trajectory similarity,1-10,0.0003538253128590411,0.00019775954077716067
150,Trajectory similarity,11-20,0.0008679880955891399,0.00045275605304906483
150,Trajectory similarity,21-30,0.001427428943409371,0.0006592916539730156
150,Trajectory similarity,31-40,0.0013914466853034951,0.0006490362750916132
150,Trajectory similarity,41-50,0.002040186136704225,0.0010191872520143568
150,Slope-adapted cohort,1-10,0.0002640457660226297,0.00016012264973093077
150,Slope-adapted cohort,11-20,0.0005244598063456232,0.0002746090248891664
150,Slope-adapted cohort,21-30,0.0008084873883980843,0.0003246063862354473
150,Slope-adapted cohort,31-40,0.0006472289727664476,0.00028972152449199676
150,Slope-adapted cohort,41-50,0.0009909737295029973,0.00048662374803036643
150,Multivariate similarity,1-10,0.0003543363916778889,0.0001963646300670957
150,Multivariate similarity,11-20,0.0008668463986565997,0.0004512063100140387
150,Multivariate similarity,21-30,0.0014296845448061736,0.000668919879519182
150,Multivariate similarity,31-40,0.0013963873287206297,0.0006729426677062458
150,Multivariate similarity,41-50,0.0020446078421349884,0.0010428771866006076
150,Soft-policy neighbors,1-10,0.00030150835757944324,0.0001688544416478821
150,Soft-policy neighbors,11-20,0.000701569181761667,0.00036379921587799483
150,Soft-policy neighbors,21-30,0.0011555156175288713,0.000546498372621547
150,Soft-policy neighbors,31-40,0.0012709262480659173,0.0006124977505826393
150,Soft-policy neighbors,41-50,0.0017489006458165464,0.0008888943207887876
