use_policy,architecture,hidden_layers,parameters,n_input,seed,fold,battery_id,rmse,mae
False,bottleneck_4,4,298,11,20260816,4,4,0.0006077172896311468,0.0004905581590719521
False,bottleneck_4,4,298,11,20260816,4,15,0.0003289495078843008,0.0002536976244300604
False,bottleneck_4,4,298,11,20260816,4,19,0.00011843166938449865,0.00010236621164949611
False,bottleneck_4,4,298,11,20260816,4,27,0.00013938452829114016,0.00012396097008604556
False,bottleneck_4,4,298,11,20260816,4,29,0.00011880514810390853,0.00011152863589813933
False,bottleneck_4,4,298,11,20260816,4,43,0.0005661526154308235,0.0004886424285359681
False,bottleneck_4,4,298,11,20260816,4,44,9.012708634260811e-05,7.978916255524382e-05
False,bottleneck_4,4,298,11,20260816,4,48,0.00011874636531227857,9.808302274905145e-05
False,bottleneck_4,4,298,11,20260816,5,18,0.00013079783324022832,0.00011360645294189453
False,bottleneck_4,4,298,11,20260816,5,21,6.329568469678626e-05,5.374908505473286e-05
False,bottleneck_4,4,298,11,20260816,5,28,4.568798569643803e-05,4.030108539154753e-05
False,bottleneck_4,4,298,11,20260816,5,31,0.0001819275245720073,0.00013717055844608694
False,bottleneck_4,4,298,11,20260816,5,32,7.464435926724098e-05,6.39939316897653e-05
False,bottleneck_4,4,298,11,20260816,5,36,0.00010892302400257208,9.827971371123567e-05
False,bottleneck_4,4,298,11,20260816,5,39,5.085265728816808e-05,4.0981769416248426e-05
False,bottleneck_4,4,298,11,20260816,5,46,0.0007115886381081092,0.0006037461571395397
False,bottleneck_4,4,298,11,20260817,1,1,0.0020005408463204368,0.0013955056201666594
False,bottleneck_4,4,298,11,20260817,1,6,8.79583271032444e-05,7.179379463195801e-05
False,bottleneck_4,4,298,11,20260817,1,12,0.00024796101043210586,0.00018937468121293932
False,bottleneck_4,4,298,11,20260817,1,13,0.0001814845939619648,0.00015685081598348916
False,bottleneck_4,4,298,11,20260817,1,20,0.0001492333550438172,0.00014085769362282008
False,bottleneck_4,4,298,11,20260817,1,22,3.241909690768113e-05,2.5434494091314264e-05
False,bottleneck_4,4,298,11,20260817,1,47,0.0001811031395346581,0.00015393018838949502
False,bottleneck_4,4,298,11,20260817,1,49,0.0001625265873861063,0.00013214349746704102
False,bottleneck_4,4,298,11,20260817,2,3,0.0038250785475393255,0.003329781349748373
False,bottleneck_4,4,298,11,20260817,2,17,0.00017623662245470486,0.0001531279121991247
False,bottleneck_4,4,298,11,20260817,2,30,0.0003286908174715269,0.00027215242153033614
False,bottleneck_4,4,298,11,20260817,2,38,0.00023229867100920572,0.00016557693015784025
False,bottleneck_4,4,298,11,20260817,2,40,9.789526720039329e-05,7.140875095501542e-05
False,bottleneck_4,4,298,11,20260817,2,41,0.00016955016601480287,0.0001171243202406913
False,bottleneck_4,4,298,11,20260817,2,42,0.00011896780260683587,9.254336328012869e-05
False,bottleneck_4,4,298,11,20260817,2,45,8.299397002199836e-05,6.578564352821559e-05
False,bottleneck_4,4,298,11,20260817,3,7,0.001010668308604043,0.0007902944344095886
False,bottleneck_4,4,298,11,20260817,3,8,0.006544159022109099,0.0056574344635009766
False,bottleneck_4,4,298,11,20260817,3,23,7.181674889509048e-05,5.99288941884879e-05
False,bottleneck_4,4,298,11,20260817,3,26,0.00037991579772825936,0.00031134128221310675
False,bottleneck_4,4,298,11,20260817,3,33,0.00011430113032793046,7.718324923189357e-05
False,bottleneck_4,4,298,11,20260817,3,34,8.461497866781903e-05,6.978512101341039e-05
False,bottleneck_4,4,298,11,20260817,3,35,0.0007988685463235946,0.0007705605239607394
False,bottleneck_4,4,298,11,20260817,3,37,0.00020422680671958394,0.0001720166183076799
False,bottleneck_4,4,298,11,20260817,4,4,0.0002755015532531128,0.00023675442207604647
False,bottleneck_4,4,298,11,20260817,4,15,0.000260308067150409,0.00019368171342648566
False,bottleneck_4,4,298,11,20260817,4,19,3.5068216856900076e-05,2.9718876248807646e-05
False,bottleneck_4,4,298,11,20260817,4,27,0.00012545471593462836,0.00010776519775390625
False,bottleneck_4,4,298,11,20260817,4,29,0.00011347036119667483,0.00010526895493967459
False,bottleneck_4,4,298,11,20260817,4,43,0.0003469625436185784,0.0002985882747452706
