battery_id,policy,fit_start,model,EOL_cycle,conditional_lower_90,conditional_upper_90,bootstrap_valid,fit_RMSE,fit_success
16,3_7C_31PER_5_9C_NEWSTRUCTURE,1,power,993.9158380996344,962.0545215198888,1038.7981357936715,60,0.000223681979967656,True
16,3_7C_31PER_5_9C_NEWSTRUCTURE,20,power,971.9726922998786,939.8478255380561,1019.1275259629049,60,0.0001440780485675383,True
16,3_7C_31PER_5_9C_NEWSTRUCTURE,50,power,915.5412842209757,842.7009959183623,988.4717550631009,60,0.0001375992059595542,True
16,3_7C_31PER_5_9C_NEWSTRUCTURE,80,power,805.0851669723518,667.6474649107392,935.930632905878,60,0.00013772113056797632,True
24,5_6C_36PER_4_3C_NEWSTRUCTURE,1,exponential,18974.244172886058,14370.699970706291,31899.76553685845,60,0.0008494528889407904,True
24,5_6C_36PER_4_3C_NEWSTRUCTURE,20,exponential,11952.134823983695,10666.953774740252,13684.186836858687,60,0.0002534379038041914,True
24,5_6C_36PER_4_3C_NEWSTRUCTURE,50,exponential,9383.905199415785,8787.310857893166,9967.808672132776,60,0.00016518275564045973,True
24,5_6C_36PER_4_3C_NEWSTRUCTURE,80,exponential,8736.223795814618,7897.177995601532,9973.32068202768,60,0.00018708183272810264,True
24,5_6C_36PER_4_3C_NEWSTRUCTURE,1,linear,17014.868594054646,12531.940606289585,27372.28438657719,60,0.0008494075956348269,True
24,5_6C_36PER_4_3C_NEWSTRUCTURE,20,linear,10725.270012604533,9543.105996886263,12395.882190099961,60,0.0002532678896484187,True
24,5_6C_36PER_4_3C_NEWSTRUCTURE,50,linear,8424.887499451643,7862.228411828157,8886.963752396714,60,0.0001651225683182268,True
24,5_6C_36PER_4_3C_NEWSTRUCTURE,80,linear,7845.3794265099295,6980.537634437067,8678.145997084144,60,0.00018705477253348708,True
24,5_6C_36PER_4_3C_NEWSTRUCTURE,1,power,679.7990585515226,628.3630229472864,2247.2824721657416,60,0.0007297201843987571,True
24,5_6C_36PER_4_3C_NEWSTRUCTURE,20,power,1045.5216688034825,847.9936215742962,1439.5424299183758,60,0.00016901479134355751,True
24,5_6C_36PER_4_3C_NEWSTRUCTURE,50,power,2719.9646412238094,1360.5758949104434,6782.774927196582,60,0.00015931510164982751,True
24,5_6C_36PER_4_3C_NEWSTRUCTURE,80,power,1655.375459095979,706.3570582750827,1504286.092848359,60,0.00018363373662607694,True
25,4_8C_80PER_4_8C_NEWSTRUCTURE,1,exponential,13323.77200114965,10873.944465230607,15391.757024703295,60,0.0006197192097147851,True
25,4_8C_80PER_4_8C_NEWSTRUCTURE,20,exponential,10138.97444554116,9614.171288468397,10723.349549600545,60,0.00024473400631363704,True
25,4_8C_80PER_4_8C_NEWSTRUCTURE,50,exponential,9591.691332006527,8907.127738043899,10496.198777541109,60,0.0002677248132684011,True
25,4_8C_80PER_4_8C_NEWSTRUCTURE,80,exponential,11355.150209605375,10096.076895902019,14391.09715209637,60,0.00029174679896358004,True
25,4_8C_80PER_4_8C_NEWSTRUCTURE,1,linear,11954.215075201824,9801.814322109256,14093.090413185497,60,0.0006196058413537613,True
25,4_8C_80PER_4_8C_NEWSTRUCTURE,20,linear,9101.38968407073,8497.78943913383,9651.519496731413,60,0.0002447185093399917,True
25,4_8C_80PER_4_8C_NEWSTRUCTURE,50,linear,8614.256214573985,7838.306725347912,9523.545712875235,60,0.00026777631273151235,True
25,4_8C_80PER_4_8C_NEWSTRUCTURE,80,linear,10198.485728898228,8567.945987325264,12222.96361168323,60,0.0002917342363222669,True
25,4_8C_80PER_4_8C_NEWSTRUCTURE,1,power,1190.4192983751973,613.0937941722561,2638.789344882857,60,0.0005347336446209889,True
25,4_8C_80PER_4_8C_NEWSTRUCTURE,20,power,5849.411374103014,2807.249922248938,18919.970687190144,60,0.00024391463407013534,True
25,4_8C_80PER_4_8C_NEWSTRUCTURE,50,power,28387017.414420374,29998.204707800855,36354076.59002497,60,0.0002568782627183212,True
25,4_8C_80PER_4_8C_NEWSTRUCTURE,80,power,905.9056698291819,719.4648153231118,55149.89180443032,60,0.0002868466327137238,True
