outer_target_battery,cutoff,ensemble,horizon_bin,expert,weight
6,50,adaptive,41-50,linear50,0.2781968309999065
6,50,adaptive,41-50,same_policy,0.06576289580926481
6,50,global,all,feature_ml,0.25633685230362097
6,50,global,all,gp,0.0
6,50,global,all,linear20,0.3337601273293013
6,50,global,all,linear30,0.2708062263583954
6,50,global,all,linear50,6.1245177954451476e-18
6,50,global,all,same_policy,0.13909679400868238
6,50,horizon,1-10,feature_ml,0.2084298180968507
6,50,horizon,1-10,gp,0.11720426364522052
6,50,horizon,1-10,linear20,0.229325113686538
6,50,horizon,1-10,linear30,0.22337132682161445
6,50,horizon,1-10,linear50,0.0
6,50,horizon,1-10,same_policy,0.22166947774977633
6,50,horizon,11-20,feature_ml,0.24099523441923917
6,50,horizon,11-20,gp,1.0408340855860843e-17
6,50,horizon,11-20,linear20,0.24991598340271332
6,50,horizon,11-20,linear30,0.24858102823018235
6,50,horizon,11-20,linear50,0.0
6,50,horizon,11-20,same_policy,0.26050775394786513
6,50,horizon,21-30,feature_ml,0.3080311847739926
6,50,horizon,21-30,gp,0.0
6,50,horizon,21-30,linear20,0.3502145445626291
6,50,horizon,21-30,linear30,0.24256031560991947
6,50,horizon,21-30,linear50,4.15722295662097e-18
6,50,horizon,21-30,same_policy,0.09919395505345871
6,50,horizon,31-40,feature_ml,0.47835343379077466
6,50,horizon,31-40,gp,0.0
6,50,horizon,31-40,linear20,0.36180801988706796
6,50,horizon,31-40,linear30,0.15983854632215733
6,50,horizon,31-40,linear50,0.0
6,50,horizon,31-40,same_policy,2.0816681711721685e-17
6,50,horizon,41-50,feature_ml,0.3688015814386928
6,50,horizon,41-50,gp,0.0
6,50,horizon,41-50,linear20,0.39002355075549183
6,50,horizon,41-50,linear30,0.12282386826095439
6,50,horizon,41-50,linear50,3.9112580317939424e-19
6,50,horizon,41-50,same_policy,0.118350999544861
7,50,adaptive,1-10,feature_ml,0.21768234498532124
7,50,adaptive,1-10,gp,0.10221738854752249
7,50,adaptive,1-10,linear20,0.23670519076587743
7,50,adaptive,1-10,linear30,0.19878832595733134
7,50,adaptive,1-10,linear50,0.01703162605263797
7,50,adaptive,1-10,same_policy,0.22757512369130936
7,50,adaptive,11-20,feature_ml,0.22152627092219357
7,50,adaptive,11-20,gp,0.03197845232209804
7,50,adaptive,11-20,linear20,0.31739111619498894
7,50,adaptive,11-20,linear30,0.31208909941867047
7,50,adaptive,11-20,linear50,0.020306922344722027
7,50,adaptive,11-20,same_policy,0.09670813879732706
7,50,adaptive,21-30,feature_ml,0.2538237507788096
7,50,adaptive,21-30,gp,0.02055754837283991
7,50,adaptive,21-30,linear20,0.28110597048223807
7,50,adaptive,21-30,linear30,0.25709253693744705
7,50,adaptive,21-30,linear50,0.015060277676301794
7,50,adaptive,21-30,same_policy,0.1723599157523637
7,50,adaptive,31-40,feature_ml,0.3453971539815357
7,50,adaptive,31-40,gp,0.028160648297547025
7,50,adaptive,31-40,linear20,0.2913208014184873
7,50,adaptive,31-40,linear30,0.21256106937858957
7,50,adaptive,31-40,linear50,0.022107404944156913
7,50,adaptive,31-40,same_policy,0.1004529219796835
7,50,adaptive,41-50,feature_ml,0.38498457438760747
7,50,adaptive,41-50,gp,0.02107948852618054
7,50,adaptive,41-50,linear20,0.3245216877012704
7,50,adaptive,41-50,linear30,0.15055645538873763
7,50,adaptive,41-50,linear50,0.015541696357916523
7,50,adaptive,41-50,same_policy,0.1033160976382874
7,50,global,all,feature_ml,0.2581398114592413
7,50,global,all,gp,2.442921369471869e-17
7,50,global,all,linear20,0.3698887730526539
7,50,global,all,linear30,0.32252674771430556
7,50,global,all,linear50,0.0
7,50,global,all,same_policy,0.04944466777379926
7,50,horizon,1-10,feature_ml,0.20472224366780783
7,50,horizon,1-10,gp,0.11538398595424006
7,50,horizon,1-10,linear20,0.22946610711999096
7,50,horizon,1-10,linear30,0.22217751255539525
7,50,horizon,1-10,linear50,1.387778780781446e-17
7,50,horizon,1-10,same_policy,0.228250150702566
7,50,horizon,11-20,feature_ml,0.24841217517084777
7,50,horizon,11-20,gp,2.931505643366243e-17
7,50,horizon,11-20,linear20,0.37437468436045895
7,50,horizon,11-20,linear30,0.37721314046869336
7,50,horizon,11-20,linear50,0.0
7,50,horizon,11-20,same_policy,1.3877787807814457e-17
7,50,horizon,21-30,feature_ml,0.27919438341229796
7,50,horizon,21-30,gp,0.0
7,50,horizon,21-30,linear20,0.3622132088370028
7,50,horizon,21-30,linear30,0.29984726662275596
7,50,horizon,21-30,linear50,0.0
7,50,horizon,21-30,same_policy,0.05874514112794332
7,50,horizon,31-40,feature_ml,0.4296459330583148
7,50,horizon,31-40,gp,4.885842738943738e-18
7,50,horizon,31-40,linear20,0.40952096403355487
7,50,horizon,31-40,linear30,0.16083310290813035
7,50,horizon,31-40,linear50,1.1031203954133357e-19
7,50,horizon,31-40,same_policy,0.0
7,50,horizon,41-50,feature_ml,0.4246826964312028
7,50,horizon,41-50,gp,0.0
7,50,horizon,41-50,linear20,0.4437393513116247
7,50,horizon,41-50,linear30,0.13157795225717248
7,50,horizon,41-50,linear50,5.842544933833978e-18
7,50,horizon,41-50,same_policy,0.0
8,50,adaptive,1-10,feature_ml,0.2938703237669789
8,50,adaptive,1-10,gp,0.08816446156914264
8,50,adaptive,1-10,linear20,0.18784471491296775
8,50,adaptive,1-10,linear30,0.1850441975444655
8,50,adaptive,1-10,linear50,0.011684311708956206
8,50,adaptive,1-10,same_policy,0.23339199049748902
8,50,adaptive,11-20,feature_ml,0.41109421825733805
8,50,adaptive,11-20,gp,0.016391549720226405
8,50,adaptive,11-20,linear20,0.2262740843648496
8,50,adaptive,11-20,linear30,0.22228074412380447
8,50,adaptive,11-20,linear50,0.01066078639372726
8,50,adaptive,11-20,same_policy,0.11329861714005426
8,50,adaptive,21-30,feature_ml,0.5445717038427116
8,50,adaptive,21-30,gp,0.00797412053180408
8,50,adaptive,21-30,linear20,0.1827767427879405
8,50,adaptive,21-30,linear30,0.1576508590657892
8,50,adaptive,21-30,linear50,0.0061951186504989484
8,50,adaptive,21-30,same_policy,0.10083145512125571
8,50,adaptive,31-40,feature_ml,0.561613287217019
8,50,adaptive,31-40,gp,0.005281915029673489
8,50,adaptive,31-40,linear20,0.17407097355476606
8,50,adaptive,31-40,linear30,0.09436183543230585
8,50,adaptive,31-40,linear50,0.004300091054900881
8,50,adaptive,31-40,same_policy,0.16037189771133484
8,50,adaptive,41-50,feature_ml,0.31109914976375314
8,50,adaptive,41-50,gp,0.009370674883922925
8,50,adaptive,41-50,linear20,0.17439959290455564
8,50,adaptive,41-50,linear30,0.09795752191374035
8,50,adaptive,41-50,linear50,0.00868290707060923
8,50,adaptive,41-50,same_policy,0.39849015346341876
8,50,global,all,feature_ml,0.275142312143991
8,50,global,all,gp,0.0
8,50,global,all,linear20,0.3396391385859383
8,50,global,all,linear30,0.3139535388553841
8,50,global,all,linear50,2.100383768832786e-18
8,50,global,all,same_policy,0.07126501041468654
8,50,horizon,1-10,feature_ml,0.20430003913454284
8,50,horizon,1-10,gp,0.11525575678115833
8,50,horizon,1-10,linear20,0.227473460662536
8,50,horizon,1-10,linear30,0.2219650741032113
8,50,horizon,1-10,linear50,1.3877787807814457e-17
8,50,horizon,1-10,same_policy,0.2310056693185516
8,50,horizon,11-20,feature_ml,0.2535496232588634
8,50,horizon,11-20,gp,5.067649407127239e-18
8,50,horizon,11-20,linear20,0.36652503357725774
8,50,horizon,11-20,linear30,0.379925343163879
8,50,horizon,11-20,linear50,0.0
8,50,horizon,11-20,same_policy,2.775557561562892e-17
8,50,horizon,21-30,feature_ml,0.29825927523981555
8,50,horizon,21-30,gp,0.0
8,50,horizon,21-30,linear20,0.3340113964994591
8,50,horizon,21-30,linear30,0.29369480956863053
8,50,horizon,21-30,linear50,0.0
8,50,horizon,21-30,same_policy,0.07403451869209486
8,50,horizon,31-40,feature_ml,0.5032459407392244
8,50,horizon,31-40,gp,8.454798177156544e-18
8,50,horizon,31-40,linear20,0.3188143176337739
8,50,horizon,31-40,linear30,0.1779397416270017
8,50,horizon,31-40,linear50,0.0
8,50,horizon,31-40,same_policy,3.4694469519536136e-17
8,50,horizon,41-50,feature_ml,0.5003614019457783
8,50,horizon,41-50,gp,4.885842738943738e-18
8,50,horizon,41-50,linear20,0.3317691636690042
8,50,horizon,41-50,linear30,0.16786943438521745
8,50,horizon,41-50,linear50,6.697973320449045e-18
8,50,horizon,41-50,same_policy,0.0
12,50,adaptive,1-10,feature_ml,0.2275610072818971
12,50,adaptive,1-10,gp,0.09807200480912845
12,50,adaptive,1-10,linear20,0.24392341614645047
12,50,adaptive,1-10,linear30,0.206117356849786
12,50,adaptive,1-10,linear50,0.014908465502159783
12,50,adaptive,1-10,same_policy,0.20941774941057822
12,50,adaptive,11-20,feature_ml,0.2724060806196468
12,50,adaptive,11-20,gp,0.009636488979028763
12,50,adaptive,11-20,linear20,0.28671049955491495
12,50,adaptive,11-20,linear30,0.23532105592846636
12,50,adaptive,11-20,linear50,0.006533455914269126
12,50,adaptive,11-20,same_policy,0.18939241900367404
12,50,adaptive,21-30,feature_ml,0.35877959201550635
12,50,adaptive,21-30,gp,0.006197565810283873
12,50,adaptive,21-30,linear20,0.2590495003920116
12,50,adaptive,21-30,linear30,0.17059613846031332
12,50,adaptive,21-30,linear50,0.004736599736741595
12,50,adaptive,21-30,same_policy,0.2006406035851433
12,50,adaptive,31-40,feature_ml,0.46579147020936357
12,50,adaptive,31-40,gp,0.006230548894565044
12,50,adaptive,31-40,linear20,0.22826362728416802
12,50,adaptive,31-40,linear30,0.11442243460642525
12,50,adaptive,31-40,linear50,0.0049431954609487
12,50,adaptive,31-40,same_policy,0.1803487235445295
12,50,adaptive,41-50,feature_ml,0.376120887221224
12,50,adaptive,41-50,gp,0.007018689005630402
12,50,adaptive,41-50,linear20,0.26092291642340304
12,50,adaptive,41-50,linear30,0.10801106309563978
12,50,adaptive,41-50,linear50,0.005750132093757037
12,50,adaptive,41-50,same_policy,0.2421763121603458
12,50,global,all,feature_ml,0.4606962385320534
12,50,global,all,gp,1.4336396076791236e-17
12,50,global,all,linear20,0.3502433658574833
12,50,global,all,linear30,0.18906039561046334
12,50,global,all,linear50,4.302909959341911e-18
12,50,global,all,same_policy,0.0
12,50,horizon,1-10,feature_ml,0.20921745491361401
12,50,horizon,1-10,gp,0.11584245854584442
12,50,horizon,1-10,linear20,0.22561203675430866
12,50,horizon,1-10,linear30,0.2202996930006231
12,50,horizon,1-10,linear50,0.0
12,50,horizon,1-10,same_policy,0.22902835678560987
12,50,horizon,11-20,feature_ml,0.25851377823304234
12,50,horizon,11-20,gp,0.0
12,50,horizon,11-20,linear20,0.365024124148322
12,50,horizon,11-20,linear30,0.37646209761863564
12,50,horizon,11-20,linear50,2.504967956067204e-18
12,50,horizon,11-20,same_policy,5.551115123125783e-17
12,50,horizon,21-30,feature_ml,0.29272760900706374
12,50,horizon,21-30,gp,1.4657528216831214e-17
12,50,horizon,21-30,linear20,0.3342561125152132
12,50,horizon,21-30,linear30,0.29239642702400986
12,50,horizon,21-30,linear50,0.0
12,50,horizon,21-30,same_policy,0.08061985145371317
12,50,horizon,31-40,feature_ml,0.49384912235971934
12,50,horizon,31-40,gp,0.0
12,50,horizon,31-40,linear20,0.3266341639115106
12,50,horizon,31-40,linear30,0.17951671372877007
12,50,horizon,31-40,linear50,0.0
12,50,horizon,31-40,same_policy,0.0
12,50,horizon,41-50,feature_ml,0.48609819133607934
12,50,horizon,41-50,gp,3.6643820542078034e-17
12,50,horizon,41-50,linear20,0.3543749681929753
12,50,horizon,41-50,linear30,0.15952684047094534
12,50,horizon,41-50,linear50,3.2873766084755357e-18
