cutoff,config,mean_kind,kernel_kind,length_scale,overall_RMSE,MAE,mean_battery_RMSE,worst_battery_RMSE
125,power+matern52(ell=30),power,matern52,30.0,0.0005977526167335523,0.0003780711815162049,0.0004901895458927188,0.0018123967517417244
125,power+matern52(ell=60),power,matern52,60.0,0.0005098823037220587,0.0002978064413215932,0.00039993199800256,0.0017705881590560806
125,exponential+rbf(ell=10),exponential,rbf,10.0,0.001493263780446789,0.0009827582251279222,0.0012356215022615237,0.003940983297596275
125,exponential+rbf(ell=30),exponential,rbf,30.0,0.0012559942214619994,0.0007494018466615386,0.0010043892057888901,0.003667497187089578
125,exponential+rbf(ell=60),exponential,rbf,60.0,0.0011095905412817054,0.0006437676296687265,0.0008512668678622886,0.0031963994273192654
125,exponential+matern32(ell=10),exponential,matern32,10.0,0.0014913195630261045,0.00097999174040546,0.0012329303049449078,0.003945914040222474
125,exponential+matern32(ell=30),exponential,matern32,30.0,0.0014231783334387198,0.0008963209304962341,0.0011596706851659253,0.0038786898827903194
125,exponential+matern32(ell=60),exponential,matern32,60.0,0.0013149577178297334,0.0007942717624636513,0.0010413040478286304,0.0037382030906873364
125,exponential+matern52(ell=10),exponential,matern52,10.0,0.0014916317869837217,0.0009794702524793893,0.001233465891724939,0.003943511120955979
125,exponential+matern52(ell=30),exponential,matern52,30.0,0.0014003040991902008,0.0008780761162174287,0.0011422010579602451,0.003865794912824067
125,exponential+matern52(ell=60),exponential,matern52,60.0,0.001221512753687457,0.000709718871485026,0.0009458740817640095,0.0036142439243189973
150,linear+rbf(ell=10),linear,rbf,10.0,0.0007142370907675505,0.00037176100304147817,0.0004580982075896532,0.0034438295524139065
150,linear+rbf(ell=30),linear,rbf,30.0,0.0014672568269836284,0.000817727222647772,0.0009288265504957014,0.007597880567172835
150,linear+rbf(ell=60),linear,rbf,60.0,0.0007483141306543498,0.0004142674461619084,0.0005103371631207836,0.003421474222922759
150,linear+matern32(ell=10),linear,matern32,10.0,0.0006321028836710128,0.00032617686406441433,0.00041710254693872904,0.0028792462797012936
150,linear+matern32(ell=30),linear,matern32,30.0,0.0006958274171164564,0.0003829757815861854,0.0004654191525901959,0.0032824069406910406
150,linear+matern32(ell=60),linear,matern32,60.0,0.0007871708334715055,0.00044813605774377354,0.0005271459386248796,0.0038125128491223728
150,linear+matern52(ell=10),linear,matern52,10.0,0.0006242141689932648,0.0003249922569760737,0.0004174586715086349,0.002800830148852332
150,linear+matern52(ell=30),linear,matern52,30.0,0.0008181154008617969,0.0004820927337871295,0.0005615774563392165,0.0037974887557809416
150,linear+matern52(ell=60),linear,matern52,60.0,0.0009844625548733389,0.000540949482004884,0.0006246488793318534,0.005096538607598789
150,power+rbf(ell=10),power,rbf,10.0,0.000660353965721927,0.00041891927916658624,0.0005258419329377053,0.002461513908013914
150,power+rbf(ell=30),power,rbf,30.0,0.0007317102468542427,0.0004597591819487915,0.0005491259788849543,0.0030077245439140738
150,power+rbf(ell=60),power,rbf,60.0,0.0006492782098700378,0.00044175009846312034,0.0005381818374012978,0.0022291088612331287
150,power+matern32(ell=10),power,matern32,10.0,0.0006554715411255401,0.00041690035261589026,0.0005218890637816721,0.0024078563812472645
150,power+matern32(ell=30),power,matern32,30.0,0.0006273307500034293,0.0003804908036493803,0.0004842417617295995,0.0025326057491771655
150,power+matern32(ell=60),power,matern32,60.0,0.0006172969524114501,0.00037325092202800553,0.0004675415633449342,0.0025672229681881127
150,power+matern52(ell=10),power,matern52,10.0,0.0006576013798926765,0.00041547285292846707,0.0005216758086327933,0.002439276281712503
150,power+matern52(ell=30),power,matern52,30.0,0.0006275573235234658,0.0003813399976621235,0.00048063912402851775,0.002597062462331957
150,power+matern52(ell=60),power,matern52,60.0,0.0006454327131928469,0.00039536192821368614,0.000488620031198006,0.002632678279939055
150,exponential+rbf(ell=10),exponential,rbf,10.0,0.0014139483391229129,0.0009107910009707994,0.001135241670385217,0.0038140563460127594
150,exponential+rbf(ell=30),exponential,rbf,30.0,0.0012651957105331943,0.0008095187612694486,0.0010090743235816426,0.0034347037813257696
150,exponential+rbf(ell=60),exponential,rbf,60.0,0.0012592755218966175,0.0008449537928651138,0.0010389755187600817,0.0032532917981656783
