cutoff,model,policy,n_batteries,RMSE,MAE
75,Linear-Nested,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0007336353382929639,0.0004593166441984002
75,Linear-Nested,5C_67PER_4C_NEWSTRUCTURE,6,0.0003210316178541303,0.00023042423863426254
75,Linear-Nested,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0003232687950743127,0.0002214472177808153
75,Linear-Nested,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0003347037090215978,0.0002673972129131706
75,Linear-Nested,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0002870534536093716,0.00023106285238291819
75,Linear-Nested,80PER_3_6C,2,0.00284040573376845,0.001861495348471004
75,Same-policy mean delta,3_6C-80PER_3_6C,2,0.00034609124309106613,0.00027060373870180454
75,Same-policy mean delta,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0020794603320417097,0.0017910579746136057
75,Same-policy mean delta,4_8C_80PER_4_8C,2,0.0013258008278456258,0.0010938049774063075
75,Same-policy mean delta,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00032381580536662054,0.00022674291710444327
75,Same-policy mean delta,5C_67PER_4C_NEWSTRUCTURE,6,0.0002577738253972308,0.00022497351714101572
75,Same-policy mean delta,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00030464615337639416,0.00022739576710008322
75,Same-policy mean delta,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00028600778752343754,0.00023594676177795837
75,Same-policy mean delta,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00030640849024837964,0.0002562233272961786
75,Same-policy mean delta,80PER_3_6C,2,0.004369791313954222,0.003665386598230522
100,Persistence,3_6C-80PER_3_6C,2,0.0010357830884070822,0.0007152425201498114
100,Persistence,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0055721006241784615,0.004748988578424445
100,Persistence,4_8C_80PER_4_8C,2,0.002673449332148998,0.002127647979065942
100,Persistence,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0007601329154630742,0.0006341570351846259
100,Persistence,5C_67PER_4C_NEWSTRUCTURE,6,0.0007482162033618724,0.0006104634962204007
100,Persistence,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0008195871055359555,0.0006650721127875198
100,Persistence,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0009426012516909711,0.0007730703236355677
100,Persistence,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0008734757503819975,0.0006862756667977009
100,Persistence,80PER_3_6C,2,0.004242976955548852,0.0031851522404741585
100,Linear-10,3_6C-80PER_3_6C,2,0.0016804306816649273,0.0012204628340030121
100,Linear-10,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0009247982053963135,0.0008033695485573433
100,Linear-10,4_8C_80PER_4_8C,2,0.0006158795534314609,0.0004916181493461568
100,Linear-10,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0015645599150841585,0.001083679104817624
100,Linear-10,5C_67PER_4C_NEWSTRUCTURE,6,0.0007143039525574966,0.0005760613229997165
100,Linear-10,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0006124888570954034,0.00043369222978011
100,Linear-10,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0006542349276216391,0.0004883175866448235
100,Linear-10,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0009470896422982309,0.0007460449035352742
100,Linear-10,80PER_3_6C,2,0.0026019615016345966,0.0021916564808320983
100,Linear-20,3_6C-80PER_3_6C,2,0.0005907867263697698,0.00032042028361981223
100,Linear-20,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.00018573315054800298,0.00012772055425405937
100,Linear-20,4_8C_80PER_4_8C,2,0.0007924594869280705,0.000598228058628384
100,Linear-20,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0005856117118111779,0.0004728642777744647
100,Linear-20,5C_67PER_4C_NEWSTRUCTURE,6,0.0003317208256098214,0.00023888114681882197
100,Linear-20,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00046663288660304513,0.0003265117805101639
100,Linear-20,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.0002982867215364306,0.00022815893673149067
100,Linear-20,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.000290985941624747,0.000227849089538246
100,Linear-20,80PER_3_6C,2,0.0028838295306046918,0.002298941029421846
100,Linear-30,3_6C-80PER_3_6C,2,0.0007482006303347209,0.0003568568769658531
100,Linear-30,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0002494548473433621,0.00019357569145373566
100,Linear-30,4_8C_80PER_4_8C,2,0.0009487203674434226,0.0007478848915671776
100,Linear-30,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00037918507243381246,0.0002730173878544697
100,Linear-30,5C_67PER_4C_NEWSTRUCTURE,6,0.0002394600647873149,0.00018206431128806267
100,Linear-30,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00037024271394587313,0.0002511115986145697
100,Linear-30,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00023376264987102317,0.0001696515814699641
100,Linear-30,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00029383700608454815,0.00022292680320266735
100,Linear-30,80PER_3_6C,2,0.0015230748245277732,0.0010071182177839456
100,Linear-50,3_6C-80PER_3_6C,2,0.0006244807498002977,0.00028860904800725453
100,Linear-50,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0005154061722602754,0.0004280760277927653
100,Linear-50,4_8C_80PER_4_8C,2,0.0013556266963974154,0.001132517700382256
