cutoff,model,horizon_bin,RMSE,MAE
100,Linear-10,31-40,0.0012997174934863509,0.0009728875995713227
100,Linear-10,41-50,0.0016555656535079137,0.001205182680494768
100,Linear-20,1-10,0.0003257718499802396,0.000184143538424415
100,Linear-20,11-20,0.0005710535419709739,0.00033731247913902
100,Linear-20,21-30,0.0005712770601226872,0.000346799071473424
100,Linear-20,31-40,0.0008554646392254403,0.0004467563746446035
100,Linear-20,41-50,0.0012169338317243458,0.0006807218824551329
100,Linear-30,1-10,0.00025838107199019085,0.00016063342546118102
100,Linear-30,11-20,0.00037999691717715504,0.00021046347018652988
100,Linear-30,21-30,0.00032590184238679093,0.00020417887776514544
100,Linear-30,31-40,0.0005596745444074523,0.00035149091693365193
100,Linear-30,41-50,0.0008402586749379997,0.0005200050653475613
100,Linear-50,1-10,0.00026872020777575137,0.00015927731739126094
100,Linear-50,11-20,0.0004086519776784354,0.00023287421873613684
100,Linear-50,21-30,0.00041098249501693424,0.0002635034460018112
100,Linear-50,31-40,0.0006279228343089062,0.00038356115123407613
100,Linear-50,41-50,0.0009083840337294644,0.0005308360270573137
100,Linear-Nested,1-10,0.00025838107199019085,0.00016063342546118102
100,Linear-Nested,11-20,0.00037999691717715504,0.00021046347018652988
100,Linear-Nested,21-30,0.00032590184238679093,0.00020417887776514544
100,Linear-Nested,31-40,0.0005596745444074523,0.00035149091693365193
100,Linear-Nested,41-50,0.0008402586749379997,0.0005200050653475613
100,Same-policy mean delta,1-10,0.00041583431619755947,0.00023662920622652295
100,Same-policy mean delta,11-20,0.0007923875968862604,0.0004312859258822832
100,Same-policy mean delta,21-30,0.0009566508769706328,0.0005595503335001367
100,Same-policy mean delta,31-40,0.0014976398743541967,0.000805527822592221
100,Same-policy mean delta,41-50,0.0020020805324856635,0.0010585614039099038
125,Persistence,1-10,0.0005231996061984293,0.00033141887228005704
125,Persistence,11-20,0.0012127583095602585,0.0008724739705446863
125,Persistence,21-30,0.0017355603293212748,0.001252237933266776
125,Persistence,31-40,0.0023648927558249356,0.0017860688638187336
125,Persistence,41-50,0.0031684778206374936,0.0023602731687532687
125,Linear-10,1-10,0.0003457585986160563,0.00018819590912506068
125,Linear-10,11-20,0.0006956107608875115,0.00046345165288111585
125,Linear-10,21-30,0.0007963729753983453,0.0005785156554378431
125,Linear-10,31-40,0.0009353919254511743,0.0006717392679926862
125,Linear-10,41-50,0.0013743414631864988,0.0009874562114004894
125,Linear-20,1-10,0.00036469890887988156,0.0002450324317619132
125,Linear-20,11-20,0.0006314728552831856,0.0004634494650473431
125,Linear-20,21-30,0.0006057318016273745,0.0005134249949809031
125,Linear-20,31-40,0.0008547348301283761,0.0007370368977120564
125,Linear-20,41-50,0.0012138646222982369,0.000983123076699661
125,Linear-30,1-10,0.0003601179382936467,0.0002388072889661355
125,Linear-30,11-20,0.0005755259484441219,0.0004008763149706723
125,Linear-30,21-30,0.0005099201323665936,0.000416345126901734
125,Linear-30,31-40,0.0007793601406511486,0.0006372405421194794
125,Linear-30,41-50,0.0010782587050525729,0.0008275646504177489
125,Linear-50,1-10,0.000323135878664366,0.00018859560015360794
125,Linear-50,11-20,0.0005317441919021736,0.0003037778262281579
125,Linear-50,21-30,0.00044633425918252115,0.00029502381974813726
125,Linear-50,31-40,0.0006655409862328727,0.00046699618914583686
125,Linear-50,41-50,0.000981602937012933,0.0006350504425086653
125,Linear-Nested,1-10,0.000323135878664366,0.00018859560015360794
125,Linear-Nested,11-20,0.0005317441919021736,0.0003037778262281579
125,Linear-Nested,21-30,0.00044633425918252115,0.00029502381974813726
125,Linear-Nested,31-40,0.0006655409862328727,0.00046699618914583686
125,Linear-Nested,41-50,0.000981602937012933,0.0006350504425086653
125,Same-policy mean delta,1-10,0.00045364761191923864,0.0001838584801636481
125,Same-policy mean delta,11-20,0.0008425938433474407,0.00038970221125171986
125,Same-policy mean delta,21-30,0.001020790566755653,0.0005272099797177096
125,Same-policy mean delta,31-40,0.0013518268031868872,0.0007484464487435683
125,Same-policy mean delta,41-50,0.0019272617636368835,0.0010035323197671875
150,Persistence,1-10,0.00045431567634755533,0.00029803726767596377
150,Persistence,11-20,0.0011901307679996322,0.0008950480594557278
150,Persistence,21-30,0.0019873395723654947,0.00143705799013813
150,Persistence,31-40,0.0024264434015355478,0.0018119695102268942
150,Persistence,41-50,0.0032852832300829826,0.0025029495794188605
150,Linear-10,1-10,0.00043187435775074836,0.0002789565064665012
150,Linear-10,11-20,0.0010715177574117934,0.0006433463438420372
150,Linear-10,21-30,0.0016960678007791928,0.0009421427687066203
150,Linear-10,31-40,0.00175586397346498,0.0011451531639154692
150,Linear-10,41-50,0.0026534057520185557,0.001646502298619912
150,Linear-20,1-10,0.0003600140268103907,0.0002507132628472217
