ablation,cutoff,policy,n_batteries,MAE,RMSE
C_plus_policy,75,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0003609608116430443,0.0004556540786999565
C_plus_policy,75,5C_67PER_4C_NEWSTRUCTURE,6,0.00015528463189178518,0.00019999568489066007
C_plus_policy,75,5_3C_54PER_4C_NEWSTRUCTURE,7,0.0001725712656066003,0.0002221423449192756
C_plus_policy,75,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00021811876138737077,0.0002854625913588761
C_plus_policy,75,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00022889813814201552,0.0003340352122610994
C_plus_policy,75,80PER_3_6C,2,0.0009197903741737623,0.0014332141679121685
C_plus_policy,100,3_6C-80PER_3_6C,2,0.0004880630698826971,0.000745727078682536
C_plus_policy,100,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0009893242305787219,0.0013331791754985095
C_plus_policy,100,4_8C_80PER_4_8C,2,0.0001996876958106464,0.0002756157113313968
C_plus_policy,100,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.0007068576946292744,0.0009134520358810006
C_plus_policy,100,5C_67PER_4C_NEWSTRUCTURE,6,0.0001514432493960538,0.00018776530052038137
C_plus_policy,100,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00014367392180287755,0.00020083959112687482
C_plus_policy,100,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00017485171827136525,0.00025366552187141845
C_plus_policy,100,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.00028230902627623765,0.0003846998722274732
C_plus_policy,100,80PER_3_6C,2,0.001356324298240813,0.00202875428866578
C_plus_policy,125,3_6C-80PER_3_6C,2,0.0008897331523797069,0.001557422109207418
C_plus_policy,125,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0009541271870818091,0.001316519802528728
C_plus_policy,125,4_8C_80PER_4_8C,2,0.000448655699617615,0.0005653445044373303
C_plus_policy,125,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00016399445951652324,0.0002557936047952591
C_plus_policy,125,5C_67PER_4C_NEWSTRUCTURE,6,0.00012051250475141291,0.00015672769761116974
C_plus_policy,125,5_3C_54PER_4C_NEWSTRUCTURE,7,0.00015731746265715513,0.00022183710021178964
C_plus_policy,125,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00016297294643730943,0.00020699185527752468
C_plus_policy,125,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0001752211578785141,0.0002367366415381334
C_plus_policy,125,80PER_3_6C,2,0.0007828747270417824,0.0010878435581120425
C_plus_policy,150,3_6C-80PER_3_6C,2,0.0012565961214505773,0.001917695660028303
C_plus_policy,150,3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.0008924733018411235,0.0011979633272040768
C_plus_policy,150,4_8C_80PER_4_8C,2,0.0003156881977096715,0.00039215674481439457
C_plus_policy,150,4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.00018778112199731824,0.0003003662625581266
C_plus_policy,150,5C_67PER_4C_NEWSTRUCTURE,6,0.0001666094710229756,0.00020465748007212836
C_plus_policy,150,5_3C_54PER_4C_NEWSTRUCTURE,7,0.000151464083011915,0.00018731601716671616
C_plus_policy,150,5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.00015180357375098056,0.00018523741359122923
C_plus_policy,150,5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.0001406193427806901,0.00019314215200626135
C_plus_policy,150,80PER_3_6C,2,0.0005948979548394173,0.0008177288089190601
