outer_battery_id,selection_feature_set,selected_config,selected_inner_composite_RMSE,all_inner_scores
34,C_plus_policy,random_forest,0.000589670803645,"{""extra_trees"": 0.0005920021360156909, ""hist_gradient_boosting"": 0.0006005923754864341, ""random_forest"": 0.000589670803645079, ""xgboost"": 0.0006038254740299045}"
35,C_plus_policy,extra_trees,0.0006708848459108,"{""extra_trees"": 0.0006708848459108851, ""hist_gradient_boosting"": 0.0009221848070841059, ""random_forest"": 0.0006894818634759874, ""xgboost"": 0.0009671002894820207}"
36,C_plus_policy,extra_trees,0.0007532797611551,"{""extra_trees"": 0.0007532797611551809, ""hist_gradient_boosting"": 0.0011175355786447799, ""random_forest"": 0.0007705482310937511, ""xgboost"": 0.0011720591201066144}"
37,C_plus_policy,xgboost,0.0004231933346119,"{""extra_trees"": 0.0005779493323266636, ""hist_gradient_boosting"": 0.0004320335469039791, ""random_forest"": 0.0004342238476511269, ""xgboost"": 0.0004231933346119887}"
38,C_plus_policy,extra_trees,0.0005165997312787,"{""extra_trees"": 0.00051659973127877, ""hist_gradient_boosting"": 0.0006984019239313424, ""random_forest"": 0.0005843092551261395, ""xgboost"": 0.0007924484833816928}"
39,C_plus_policy,random_forest,0.0006155460846519,"{""extra_trees"": 0.0006191845146347732, ""hist_gradient_boosting"": 0.0006917598344058715, ""random_forest"": 0.000615546084651982, ""xgboost"": 0.0007318257231794985}"
40,C_plus_policy,random_forest,0.0008094637147952,"{""extra_trees"": 0.0009473529138731363, ""hist_gradient_boosting"": 0.001125286466180967, ""random_forest"": 0.0008094637147952246, ""xgboost"": 0.001187936868228124}"
41,C_plus_policy,extra_trees,0.0005825643904439,"{""extra_trees"": 0.0005825643904439508, ""hist_gradient_boosting"": 0.0007960705252373174, ""random_forest"": 0.0006203796619796363, ""xgboost"": 0.0008265363984165588}"
42,C_plus_policy,extra_trees,0.0002032588941596,"{""extra_trees"": 0.0002032588941596505, ""hist_gradient_boosting"": 0.0002702170071302726, ""random_forest"": 0.00025031893938555884, ""xgboost"": 0.00037372374003657527}"
43,C_plus_policy,random_forest,0.0003227951012731,"{""extra_trees"": 0.0003242855583147827, ""hist_gradient_boosting"": 0.00033801664195755006, ""random_forest"": 0.00032279510127313117, ""xgboost"": 0.00039822119553091154}"
44,C_plus_policy,extra_trees,0.0006183070781649,"{""extra_trees"": 0.0006183070781649637, ""hist_gradient_boosting"": 0.0006757249249966716, ""random_forest"": 0.0006273193759127116, ""xgboost"": 0.000723636978854119}"
45,C_plus_policy,random_forest,0.0004505159990774,"{""extra_trees"": 0.0006510005173799003, ""hist_gradient_boosting"": 0.0005509841848109012, ""random_forest"": 0.0004505159990774336, ""xgboost"": 0.0005098025287869218}"
46,C_plus_policy,xgboost,0.000342595336307,"{""extra_trees"": 0.00041942022678670345, ""hist_gradient_boosting"": 0.00034745933228559677, ""random_forest"": 0.0004345623448745754, ""xgboost"": 0.00034259533630706825}"
47,C_plus_policy,random_forest,0.0006963290829605,"{""extra_trees"": 0.0007855644042485403, ""hist_gradient_boosting"": 0.0006986267173871016, ""random_forest"": 0.0006963290829605615, ""xgboost"": 0.0007172807590603066}"
48,C_plus_policy,random_forest,0.0009066587758627,"{""extra_trees"": 0.0009885556070025354, ""hist_gradient_boosting"": 0.0013573456913712134, ""random_forest"": 0.0009066587758627025, ""xgboost"": 0.0014099207587258296}"
49,C_plus_policy,random_forest,0.0007505689129993,"{""extra_trees"": 0.0008260303468612003, ""hist_gradient_boosting"": 0.0008518459704154121, ""random_forest"": 0.0007505689129993405, ""xgboost"": 0.0008247511437429911}"
