outer_battery_id,ablation,selected_config,feature,baseline_outer_RMSE,RMSE_increase_mean,RMSE_increase_std
17,C_plus_policy,random_forest,corr_SOH_chargetime,0.0006799132994574,-3.344002963347626e-07,0.0
17,C_plus_policy,random_forest,C1_physical,0.0006799132994574,-5.677096453475137e-07,0.0
17,C_plus_policy,random_forest,C1_missing_indicator,0.0006799132994574,-2.6197775697704362e-08,0.0
17,C_plus_policy,random_forest,Q1,0.0006799132994574,-7.042415375868322e-08,0.0
17,C_plus_policy,random_forest,C2,0.0006799132994574,5.04146419789183e-07,0.0
17,C_plus_policy,random_forest,initial_capacity,0.0006799132994574,-8.848576688101455e-09,0.0
17,C_plus_policy,random_forest,E1,0.0006799132994574,4.062575254541907e-07,0.0
17,C_plus_policy,random_forest,E2,0.0006799132994574,-1.9881170222624e-07,0.0
17,C_plus_policy,random_forest,C1_minus_C2,0.0006799132994574,-9.296207252910365e-08,0.0
17,C_plus_policy,random_forest,weighted_C_rate,0.0006799132994574,-7.901981407783861e-08,0.0
17,C_plus_policy,random_forest,stage1_width,0.0006799132994574,1.654956500732807e-07,0.0
17,C_plus_policy,random_forest,stage2_width,0.0006799132994574,-9.030141761689343e-08,0.0
17,C_plus_policy,random_forest,policy__3_6C_80PER_3_6C,0.0006799132994574,0.0,0.0
17,C_plus_policy,random_forest,policy__3_7C_31PER_5_9C_NEWSTRUCTURE,0.0006799132994574,0.0,0.0
17,C_plus_policy,random_forest,policy__4_8C_80PER_4_8C,0.0006799132994574,1.0439234956883918e-06,0.0
17,C_plus_policy,random_forest,policy__4_8C_80PER_4_8C_NEWSTRUCTURE,0.0006799132994574,7.791513856310523e-06,0.0
17,C_plus_policy,random_forest,policy__5C_67PER_4C_NEWSTRUCTURE,0.0006799132994574,-1.1014041889243972e-08,0.0
17,C_plus_policy,random_forest,policy__5_3C_54PER_4C_NEWSTRUCTURE,0.0006799132994574,-3.6633431944020373e-07,0.0
17,C_plus_policy,random_forest,policy__5_6C_19PER_4_6C_NEWSTRUCTURE,0.0006799132994574,-1.4566686101259718e-08,0.0
17,C_plus_policy,random_forest,policy__5_6C_36PER_4_3C_NEWSTRUCTURE,0.0006799132994574,-1.718359037526651e-09,0.0
17,C_plus_policy,random_forest,policy__80PER_3_6C,0.0006799132994574,1.2889693717758888e-09,0.0
18,C_plus_policy,random_forest,cutoff,0.0001561174407754,1.5252419831128925e-05,0.0
18,C_plus_policy,random_forest,forecast_horizon,0.0001561174407754,0.0001141505873849,0.0
18,C_plus_policy,random_forest,SOH_raw_last,0.0001561174407754,-2.0377266705538973e-07,0.0
18,C_plus_policy,random_forest,SOH_last,0.0001561174407754,-6.994698903599134e-08,0.0
18,C_plus_policy,random_forest,SOH_variance,0.0001561174407754,2.462401311719429e-06,0.0
18,C_plus_policy,random_forest,SOH_slope_10,0.0001561174407754,-1.1393610876620804e-05,0.0
18,C_plus_policy,random_forest,SOH_delta_10,0.0001561174407754,2.144673794248001e-06,0.0
18,C_plus_policy,random_forest,SOH_linear_rmse_10,0.0001561174407754,1.0418646795202786e-06,0.0
18,C_plus_policy,random_forest,SOH_slope_20,0.0001561174407754,-8.796573157198015e-07,0.0
18,C_plus_policy,random_forest,SOH_delta_20,0.0001561174407754,7.00594142616118e-07,0.0
18,C_plus_policy,random_forest,SOH_linear_rmse_20,0.0001561174407754,-8.98384925823953e-07,0.0
18,C_plus_policy,random_forest,SOH_slope_30,0.0001561174407754,-1.338499374041482e-05,0.0
18,C_plus_policy,random_forest,SOH_delta_30,0.0001561174407754,4.1999007901473125e-06,0.0
18,C_plus_policy,random_forest,SOH_linear_rmse_30,0.0001561174407754,5.9239027427009225e-08,0.0
18,C_plus_policy,random_forest,SOH_slope_50,0.0001561174407754,2.254811925333833e-06,0.0
18,C_plus_policy,random_forest,SOH_delta_50,0.0001561174407754,-1.9008223162206696e-06,0.0
18,C_plus_policy,random_forest,SOH_linear_rmse_50,0.0001561174407754,-9.260640987251316e-07,0.0
18,C_plus_policy,random_forest,SOH_quadratic_curvature,0.0001561174407754,-4.141398296196033e-07,0.0
18,C_plus_policy,random_forest,SOH_first_derivative,0.0001561174407754,-1.0651504561782414e-06,0.0
18,C_plus_policy,random_forest,SOH_second_derivative,0.0001561174407754,-1.922434780462704e-06,0.0
18,C_plus_policy,random_forest,horizon_fraction,0.0001561174407754,7.452285165809069e-05,0.0
18,C_plus_policy,random_forest,SOH_linear_delta_10,0.0001561174407754,-8.107074114057565e-06,0.0
18,C_plus_policy,random_forest,SOH_linear_delta_20,0.0001561174407754,-4.8483457238689175e-06,0.0
18,C_plus_policy,random_forest,SOH_linear_delta_30,0.0001561174407754,-2.7480297582263005e-06,0.0
18,C_plus_policy,random_forest,SOH_linear_delta_50,0.0001561174407754,0.0001963887683841,0.0
18,C_plus_policy,random_forest,SOH_quadratic_delta,0.0001561174407754,5.8504980588463965e-06,0.0
18,C_plus_policy,random_forest,IR_last,0.0001561174407754,-1.675884698072261e-07,0.0
18,C_plus_policy,random_forest,IR_mean,0.0001561174407754,0.0,0.0
18,C_plus_policy,random_forest,IR_slope,0.0001561174407754,6.386387326781748e-07,0.0
18,C_plus_policy,random_forest,IR_delta,0.0001561174407754,9.760128652796954e-07,0.0
18,C_plus_policy,random_forest,IR_std,0.0001561174407754,4.833431967352878e-07,0.0
