ablation,feature,mean_RMSE_increase,median_RMSE_increase,std_across_outer_folds,positive_fold_fraction,n_outer_folds
C_plus_policy,chargetime_std,3.9392338663005553e-07,0.0,3.840433494846272e-06,0.3,40
C_plus_policy,corr_SOH_Tavg,3.6192850405532336e-07,0.0,3.3863549244198732e-06,0.45,40
C_plus_policy,SOH_raw_last,3.464545467228392e-07,2.9714180301519937e-07,2.2029655800666683e-06,0.525,40
C_plus_policy,SOH_quadratic_delta,3.372930697705176e-07,8.921390319454795e-07,8.529811879802895e-06,0.55,40
C_plus_policy,SOH_last,3.314796872861577e-07,8.64419659549892e-10,1.8142600832394203e-06,0.5,40
C_plus_policy,stage1_width,2.548252764413719e-07,0.0,2.429456666346548e-06,0.4,40
C_plus_policy,SOH_linear_rmse_50,2.040312021337696e-07,0.0,2.087648877841905e-06,0.4,40
C_plus_policy,Tavg_last,1.968162065190287e-07,0.0,1.024376056043436e-06,0.475,40
C_plus_policy,Q1,1.7678474164685176e-07,0.0,2.5451734183445354e-06,0.45,40
C_plus_policy,chargetime_delta,1.2617043107601514e-07,0.0,2.43220942189124e-06,0.425,40
C_plus_policy,IR_delta,1.0317528365780343e-07,1.9072881190220967e-07,2.2690476299875287e-06,0.6,40
C_plus_policy,IR_slope,6.573556752014466e-08,0.0,9.361154796645424e-07,0.475,40
C_plus_policy,IR_mean,2.0036561524888296e-08,0.0,9.891767142961954e-07,0.2,40
C_plus_policy,C1_missing_indicator,1.688892161615352e-08,0.0,5.457673493505798e-07,0.45,40
C_plus_policy,IR_std,1.3321536509650458e-08,0.0,3.445598189282543e-07,0.425,40
C_plus_policy,policy__5C_67PER_4C_NEWSTRUCTURE,1.1338257229317127e-08,0.0,8.828813312066244e-07,0.425,40
C_plus_policy,policy__5_6C_36PER_4_3C_NEWSTRUCTURE,-6.393386489421723e-09,8.759957941483192e-09,3.0635345454174647e-07,0.575,40
C_plus_policy,chargetime_mean,-2.175651110210288e-08,0.0,3.669583962805472e-07,0.325,40
C_plus_policy,E1,-5.006792702713022e-08,0.0,2.4269289463314916e-06,0.475,40
C_plus_policy,chargetime_slope,-8.162984857178726e-08,0.0,1.2747241084793375e-06,0.35,40
C_plus_policy,policy__80PER_3_6C,-9.603537169570214e-08,0.0,5.68751777864823e-07,0.325,40
C_plus_policy,corr_SOH_chargetime,-1.0994041349653448e-07,0.0,6.683013882121613e-07,0.4,40
C_plus_policy,policy__3_7C_31PER_5_9C_NEWSTRUCTURE,-1.4434021128911072e-07,0.0,7.65079906122073e-07,0.025,40
C_plus_policy,SOH_linear_rmse_20,-1.5691284061956746e-07,0.0,2.628378681494369e-06,0.4,40
C_plus_policy,SOH_linear_rmse_30,-1.966528323207829e-07,6.267536970631384e-08,2.7197537630405473e-06,0.525,40
C_plus_policy,policy__5_3C_54PER_4C_NEWSTRUCTURE,-2.364244662276373e-07,0.0,1.4912124328064107e-06,0.4,40
C_plus_policy,stage2_width,-3.0401172776287345e-07,0.0,3.128789271402569e-06,0.475,40
C_plus_policy,weighted_C_rate,-3.12350647909135e-07,0.0,1.287233880576882e-06,0.4,40
C_plus_policy,C2,-3.4797039122525475e-07,0.0,2.735812846071303e-06,0.4,40
C_plus_policy,chargetime_last,-4.2529063666551426e-07,0.0,1.8753369401630045e-06,0.35,40
C_plus_policy,Tavg_mean,-5.5257873706005e-07,0.0,4.1500534620738725e-06,0.275,40
C_plus_policy,SOH_linear_rmse_10,-8.02350468650888e-07,-2.6370688560768685e-08,2.633108943113963e-06,0.3,40
C_plus_policy,SOH_first_derivative,-9.082198253467956e-07,-8.120346445418926e-09,4.472195087759865e-06,0.35,40
C_plus_policy,C1_physical,-9.116002875659804e-07,0.0,5.115905318660377e-06,0.475,40
C_plus_policy,C1_minus_C2,-1.1932569179611105e-06,0.0,6.209589968100531e-06,0.35,40
C_plus_policy,E2,-1.5101797663387046e-06,0.0,7.75928384531893e-06,0.4,40
C_plus_policy,policy__3_6C_80PER_3_6C,-2.604854199198718e-06,0.0,1.4871889114791007e-05,0.125,40
