battery_id,policy,cutoff,fit_start,model,EOL_threshold,EOL_cycle,EOL_lower_90,EOL_upper_90,bootstrap_valid,bootstrap_repetitions,fit_RMSE,derivative_max,monotonic_constraint_satisfied,params_json
32,5_3C_54PER_4C_NEWSTRUCTURE,150,20,power,0.8,704.8436487982274,646.3677711007958,911.3978382739303,40,40,0.00023253755982632345,-1.094692480167949e-06,True,"[0.9998350334405472, 1.4832760563722016e-09, 2.8543485899289314]"
32,5_3C_54PER_4C_NEWSTRUCTURE,150,20,exponential,0.8,12854.254940714454,10788.94052178687,14694.471941322887,40,40,0.00033323389361831894,-1.7370320631203335e-05,True,"[1.000590703852965, 1.740544915300184e-05]"
32,5_3C_54PER_4C_NEWSTRUCTURE,150,50,linear,0.8,8714.711732972095,7993.215604270658,9837.676825349825,40,40,0.0002813707993179175,-2.3090110800226434e-05,True,"[1.001223659506359, 2.3090110800226434e-05]"
32,5_3C_54PER_4C_NEWSTRUCTURE,150,50,power,0.8,878.6611339503164,728.3289146178926,1260.6737917384942,40,40,0.00024775307713257596,-8.130967207796644e-06,True,"[0.9999695847687221, 1.0065629444462654e-08, 2.479132384009548]"
32,5_3C_54PER_4C_NEWSTRUCTURE,150,50,exponential,0.8,9707.651729377743,8730.779302362349,10717.64309934303,40,40,0.00028146747660126413,-2.306080021729169e-05,True,"[1.0012258411801458, 2.311255574667103e-05]"
32,5_3C_54PER_4C_NEWSTRUCTURE,150,80,linear,0.8,7294.389906495861,6510.735899203361,8030.238597254785,40,40,0.00026560468660199077,-2.766208983382003e-05,True,"[1.0017780688763986, 2.766208983382003e-05]"
32,5_3C_54PER_4C_NEWSTRUCTURE,150,80,power,0.8,817.1024974289122,655.9785630810157,2328.888411115817,40,40,0.00025419090779681234,-1.529511456181175e-05,True,"[0.9998851199057758, 5.179048021803591e-09, 2.605017218782848]"
32,5_3C_54PER_4C_NEWSTRUCTURE,150,80,exponential,0.8,8120.252866567673,7362.43191742448,9303.109247812688,40,40,0.000265646805849869,-2.7633557999445957e-05,True,"[1.0017827827413872, 2.7699229381232846e-05]"
33,5_6C_19PER_4_6C_NEWSTRUCTURE,150,1,linear,0.8,13719.673879961336,11137.72677651721,21109.528833829394,40,40,0.0007001968184564786,-1.4580757891156144e-05,True,"[1.0000432431893351, 1.4580757891156144e-05]"
33,5_6C_19PER_4_6C_NEWSTRUCTURE,150,1,power,0.8,647.4369808555879,621.2190167440948,1631.4348016687886,40,40,0.0005572726568704349,-2.2059291696283373e-09,True,"[0.999555092581483, 7.353097232114277e-10, 2.999999999991914]"
