threshold,cutoff,model,n_cases,n_batteries,finite_future_rate,within_evaluation_range_rate,crossing_MAE_within_range,crossing_RMSE_within_range,median_absolute_error_within_range,penalized_crossing_MAE,interval_90_coverage,median_interval_width,n_valid_intervals
0.995,75,power,17,17,1.0,0.5882352941176471,47.67091687263767,51.628690979108626,47.5905244569194,777.8064216897868,0.11764705882352941,43.833615541190284,17
0.995,100,exponential,17,17,1.0,0.9411764705882353,206.36375770858274,292.75972955511645,135.20243976502218,303.10706607866604,0.0,121.99454773970791,17
0.995,100,linear,17,17,1.0,0.9411764705882353,205.55938729444196,291.77883009116204,134.60256492299678,302.3500115712395,0.0,121.64673430440058,17
0.995,100,power,17,17,1.0,0.9411764705882353,35.28314627470909,37.13739791348037,36.0364692103317,142.09002002325565,0.17647058823529413,13.403442487779074,17
0.995,125,exponential,16,16,1.0,1.0,81.87432145296961,99.35045751825493,74.62435605578298,81.87432145296961,0.0,50.89786821703942,16
0.995,125,linear,16,16,1.0,1.0,81.44883720599994,98.90274165805188,74.19303869022474,81.44883720599994,0.0,50.74644880454777,16
0.995,125,power,16,16,1.0,1.0,20.81843523970086,23.46840673749936,18.523622065291534,20.81843523970086,0.375,15.27280428534273,16
0.995,150,exponential,15,15,1.0,1.0,37.31673997026397,44.044221377163204,36.202930933487494,37.31673997026397,0.0,23.366719358812162,15
0.995,150,linear,15,15,1.0,1.0,37.05542763152893,43.773488935526714,35.968999691979434,37.05542763152893,0.0,23.28264122699602,15
0.995,150,power,15,15,1.0,1.0,12.568762485243555,14.717497853434788,9.987450587800396,12.568762485243555,0.4666666666666667,10.767863387227976,15
0.997,50,exponential,31,31,1.0,0.06451612903225806,578.9943767969013,618.0330661853827,578.9943767969013,1766.9996372127034,0.1935483870967742,25394472.620591205,31
0.997,50,linear,31,31,1.0,0.06451612903225806,577.9619178650319,616.948476171968,577.9619178650319,1766.9330269590344,0.1935483870967742,25350829.020115703,31
0.997,50,power,31,31,1.0,0.06451612903225806,22.797419701529208,22.956727666723513,22.797419701529208,1731.1159625613889,0.06451612903225806,2.0031156462517833e+36,31
0.997,75,exponential,31,31,1.0,0.3548387096774194,347.36555881756897,580.9950310623341,141.67895193782113,1308.5813273223632,0.0,24567701.67622686,31
0.997,75,linear,31,31,1.0,0.3548387096774194,346.8928546110915,580.4719897058425,141.3820196609401,1308.4135935716777,0.0,24522143.70212408,31
0.997,75,power,31,31,1.0,0.3870967741935484,21.318873969016185,23.503376295140445,19.859619425731708,1134.5750479880062,0.12903225806451613,1.237370228433794e+30,31
0.997,100,exponential,30,30,1.0,0.7333333333333333,206.45432731521458,343.0627282877947,92.15521075137067,637.1665066978239,0.0,433.81532248229246,30
0.997,100,linear,30,30,1.0,0.7333333333333333,206.0328771564399,342.4605459500886,91.91679405352143,636.8574432480559,0.0,432.9764033621596,30
0.997,100,power,30,30,0.9666666666666667,0.7666666666666667,16.700800752311846,19.454673970957657,14.097381407160782,441.37061391010576,0.3,26.607291233773203,30
0.997,125,exponential,22,22,1.0,0.9545454545454546,208.24172742084133,314.3473202530946,83.35645608768309,280.8671034471667,0.0,106.97382503208699,22
0.997,125,linear,22,22,1.0,0.9545454545454546,207.794091053611,313.73605730667975,83.11496843913582,280.43981418753776,0.0,106.76764337875949,22
0.997,125,power,22,22,0.9545454545454546,0.9545454545454546,10.69464543545112,12.226919404879448,10.109593296748912,94.79445276580569,0.45454545454545453,17.96362880235796,22
0.997,150,exponential,13,13,1.0,1.0,109.29495868482557,129.60903457248378,109.45533793155585,109.29495868482557,0.0,121.7239802472863,13
0.997,150,linear,13,13,1.0,1.0,109.00629130175444,129.29179455115968,109.1584495379027,109.00629130175444,0.0,121.45213028689994,13
0.997,150,power,13,13,0.9230769230769231,0.9230769230769231,9.640492995834984,10.535116056974456,10.285233515913475,150.66814738077076,0.3076923076923077,14.530096829178945,13
0.99,ALL,exponential,12,5,1.0,0.6666666666666666,244.39477908378018,403.60741943393975,122.94217966386742,767.5965193891869,0.08333333333333333,412.05646928911614,12
0.99,ALL,linear,12,5,1.0,0.6666666666666666,242.75618336463634,401.1820791279817,121.89700486473204,766.5041222430909,0.08333333333333333,409.5109438502024,12
0.99,ALL,power,12,5,1.0,0.6666666666666666,7.184443312062683,7.817386954120334,6.359152305061123,609.4562955413751,0.5,43.30142349581574,12
0.995,ALL,exponential,82,17,1.0,0.7073170731707317,174.19698305566024,302.0599886044818,78.39159438505978,657.2246953320524,0.012195121951219513,201.50935717512084,82
0.995,ALL,linear,82,17,1.0,0.7073170731707317,173.51820909768298,301.1182732729909,77.91849712510093,656.7445869227514,0.012195121951219513,200.88805052387477,82
0.995,ALL,power,82,17,1.0,0.7195121951219512,28.684917778114922,34.24739176744535,27.133661225240587,532.6757335232779,0.23170731707317074,37.365005284154726,82
0.997,ALL,exponential,127,31,1.0,0.5433070866141733,221.95530203278528,368.3048030338041,120.50664032210247,961.0859514981277,0.047244094488188976,19575778.417385038,127
0.997,ALL,linear,127,31,1.0,0.5433070866141733,221.52501786873026,367.76189953885626,120.18844216296586,960.8521750625387,0.047244094488188976,19536322.021367308,127
0.997,ALL,power,127,31,0.9763779527559056,0.5511811023622047,14.654474491841691,17.26241980499117,12.873376528655214,835.6039655207258,0.2283464566929134,54.03500015836465,127
