window_end,use_policy,fold,battery_id,method,rmse,mae,r2
50,True,4,44,linear_tail,0.0023594570554342476,0.002166046613005217,-27.002692486675798
50,True,2,45,linear_tail,0.002040878436645103,0.0018635483089784399,-120.06971654621907
50,True,5,46,linear_tail,0.0016007816703209774,0.001469752398959523,-61.9802797120288
50,True,1,47,linear_tail,0.001239043441250295,0.0011318454879330497,-61.622678316142895
50,True,4,48,linear_tail,0.0021134973408128747,0.0019409749011243971,-75.23536472764738
50,True,1,49,linear_tail,0.001204530629689457,0.001079854523442112,-26.705866582921555
50,True,1,1,torch_mlp,0.00033364031734254846,0.0002745562365362275,-0.00799688900614326
50,True,2,3,torch_mlp,0.00038772682343667276,0.0002903642155336072,-1.239814475019993
50,True,4,4,torch_mlp,0.0004028433991047625,0.0003395647706929594,0.9564739792434793
50,True,1,6,torch_mlp,0.0006321770136137004,0.0005743180730496533,-1.7516868529972647
50,True,3,7,torch_mlp,0.00022838334439826915,0.0001876126888237195,0.7253396896433343
50,True,3,8,torch_mlp,0.0006618906378325097,0.00048555664317973424,0.5452708219149813
50,True,1,12,torch_mlp,9.082177855947561e-05,8.159866389178206e-05,0.9561058308004347
50,True,1,13,torch_mlp,0.00048696789424526864,0.00036716096066811586,-0.6971192992620665
50,True,4,15,torch_mlp,0.0001465360416172361,0.00011037371456041001,0.8865009103836197
50,True,2,17,torch_mlp,0.0004925477306386162,0.00044404668807146664,-3.178999821988949
50,True,5,18,torch_mlp,0.0003017613429834447,0.00026056925555167253,0.4314864966409204
50,True,4,19,torch_mlp,5.351387487832978e-05,4.654123780710506e-05,0.9352578304510957
50,True,1,20,torch_mlp,0.0001544220063571863,0.00013525381811632542,0.7744044545142974
50,True,5,21,torch_mlp,6.537800594708691e-05,5.5719334195600826e-05,0.9843182742730234
50,True,1,22,torch_mlp,0.0003442984286423477,0.0002902927921240916,-0.5674389287900872
50,True,3,23,torch_mlp,6.501249755462488e-05,5.5255057995964305e-05,0.9835971852223718
